,Date,TotalCash,TotalValue
1836,2007-04-25,99947.8125,99988.50249862671
1837,2007-04-26,99947.8125,99988.26250076294
1838,2007-04-27,99947.8125,99988.24250030518
1839,2007-04-30,99947.8125,99988.85250091553
1840,2007-05-01,99947.8125,99988.89250183105
1841,2007-05-02,99947.8125,99988.39250183105
1842,2007-05-03,99947.8125,99988.22249984741
1843,2007-05-04,99947.8125,99988.18249893188
1844,2007-05-07,99947.8125,99988.18249893188
1845,2007-05-08,99947.8125,99988.08250045776
1846,2007-05-09,99947.8125,99987.98249816895
1847,2007-05-10,99947.8125,99988.62250137329
1848,2007-05-11,99947.8125,99988.0325012207
1849,2007-05-14,99947.8125,99988.35250091553
1850,2007-05-15,99947.8125,99988.71250152588
1851,2007-05-16,99947.8125,99988.26250076294
1852,2007-05-17,99947.8125,99988.48249816895
1853,2007-05-18,99947.8125,99988.10250091553
1854,2007-05-21,99947.8125,99987.80250167847
1855,2007-05-22,99947.8125,99987.76250076294
1856,2007-05-23,99947.8125,99987.98249816895
1857,2007-05-24,99947.8125,99988.65250015259
1858,2007-05-25,99947.8125,99988.36249923706
1859,2007-05-29,99947.8125,99988.00249862671
1860,2007-05-30,99947.8125,99987.62250137329
1861,2007-05-31,99947.8125,99987.40250015259
1862,2007-06-01,99947.8125,99987.37250137329
1863,2007-06-04,99947.8125,99987.23249816895
1864,2007-06-05,99947.8125,99987.23249816895
1865,2007-06-06,99947.8125,99987.74250030518
1866,2007-06-07,99947.8125,99988.47249984741
1867,2007-06-08,99947.8125,99987.90250015259
1868,2007-06-11,99947.8125,99987.99250030518
1869,2007-06-12,99947.8125,99988.27249908447
1870,2007-06-13,99947.8125,99987.76250076294
1871,2007-06-14,99947.8125,99987.45249938965
1872,2007-06-15,99947.8125,99987.05250167847
1873,2007-06-18,99947.8125,99987.04249954224
1874,2007-06-19,99947.8125,99987.05250167847
1875,2007-06-20,99947.8125,99987.50249862671
1876,2007-06-21,99947.8125,99987.07249832153
1877,2007-06-22,99947.8125,99987.52249908447
1878,2007-06-25,99947.8125,99987.72249984741
1879,2007-06-26,99947.8125,99987.99250030518
1880,2007-06-27,99947.8125,99987.27249908447
1881,2007-06-28,99947.8125,99987.29249954224
1882,2007-06-29,99947.8125,99987.21250152588
1883,2007-07-02,99947.8125,99986.7825012207
1884,2007-07-03,99947.8125,99986.50249862671
1885,2007-07-05,99947.8125,99986.15250015259
1886,2007-07-06,99947.8125,99985.95249938965
1887,2007-07-09,99947.8125,99985.92250061035
1888,2007-07-10,99947.8125,99986.33250045776
1889,2007-07-11,99947.8125,99986.00249862671
1890,2007-07-12,99947.8125,99985.25249862671
1891,2007-07-13,99947.8125,99984.91249847412
1892,2007-07-16,99947.8125,99984.96250152588
1893,2007-07-17,99947.8125,99984.58250045776
1894,2007-07-18,99947.8125,99984.64250183105
1895,2007-07-19,99947.8125,99984.49250030518
1896,2007-07-20,99947.8125,99984.76250076294
1897,2007-07-23,99947.8125,99984.74250030518
1898,2007-07-24,99947.8125,99985.48249816895
1899,2007-07-25,99947.8125,99985.41249847412
1900,2007-07-26,99947.8125,99985.83250045776
1901,2007-07-27,99947.8125,99986.82249832153
1902,2007-07-30,99947.8125,99986.26250076294
1903,2007-07-31,99947.8125,99987.2825012207
1904,2007-08-01,99947.8125,99986.91249847412
1905,2007-08-02,99947.8125,99986.47249984741
1906,2007-08-03,99947.8125,99987.39250183105
1907,2007-08-06,99947.8125,99986.8424987793
1908,2007-08-07,99947.8125,99986.50249862671
1909,2007-08-08,99947.8125,99985.97249984741
1910,2007-08-09,99947.8125,99987.10250091553
1911,2007-08-10,99947.8125,99987.5325012207
1912,2007-08-13,99947.8125,99987.21250152588
1913,2007-08-14,99947.8125,99988.02249908447
1914,2007-08-15,99947.8125,99988.91249847412
1915,2007-08-16,99947.8125,99989.36249923706
1916,2007-08-17,99947.8125,99988.50249862671
1917,2007-08-20,99947.8125,99988.2825012207
1918,2007-08-21,99947.8125,99987.79249954224
1919,2007-08-22,99947.8125,99987.15250015259
1920,2007-08-23,99947.8125,99987.2825012207
1921,2007-08-24,99947.8125,99986.61249923706
1922,2007-08-27,99947.8125,99986.93249893188
1923,2007-08-28,99947.8125,99988.07249832153
1924,2007-08-29,99947.8125,99986.73249816895
1925,2007-08-30,99947.8125,99986.48249816895
1926,2007-08-31,99947.8125,99985.94250106812
1927,2007-09-04,99947.8125,99985.13249969482
1928,2007-09-05,99947.8125,99985.63249969482
1929,2007-09-06,99947.8125,99985.67250061035
1930,2007-09-07,99947.8125,99986.58250045776
1931,2007-09-10,99947.8125,99986.61249923706
1932,2007-09-11,99947.8125,99985.88249969482
1933,2007-09-12,99947.8125,99985.87250137329
1934,2007-09-13,99947.8125,99985.63249969482
1935,2007-09-14,99947.8125,99985.5924987793
1936,2007-09-17,99947.8125,99986.00249862671
1937,2007-09-18,99947.8125,99984.77249908447
1938,2007-09-19,99947.8125,99984.64250183105
1939,2007-09-20,99947.8125,99984.7825012207
1940,2007-09-21,99947.8125,99984.45249938965
1941,2007-09-24,99947.8125,99984.22249984741
1942,2007-09-25,99947.8125,99983.74250030518
1943,2007-09-26,99947.8125,99983.49250030518
1944,2007-09-27,99947.8125,99983.23249816895
1945,2007-09-28,99947.8125,99983.40250015259
1946,2007-10-01,99947.8125,99982.8125
1947,2007-10-02,99947.8125,99982.80250167847
1948,2007-10-03,99947.8125,99983.16249847412
1949,2007-10-04,99947.8125,99983.04249954224
1950,2007-10-05,99947.8125,99981.99250030518
1951,2007-10-08,99947.8125,99981.66249847412
1952,2007-10-09,99947.8125,99981.43249893188
1953,2007-10-10,99947.8125,99981.30250167847
1954,2007-10-11,99947.8125,99982.15250015259
1955,2007-10-12,99947.8125,99981.2825012207
1956,2007-10-15,99947.8125,99981.69250106812
1957,2007-10-16,99947.8125,99981.94250106812
