,Date,Positive,Negative
95,2012-10-10,,-1.3199996948242188
96,2012-11-30,,-1.3600006103515625
97,2012-12-27,2.6399993896484375,
98,2013-01-03,,-0.43000030517578125
99,2013-02-05,1.2600021362304688,
100,2013-02-11,,-1.1800003051757812
101,2013-02-22,2.0400009155273438,
102,2013-03-06,,-1.0
103,2013-04-08,1.9599990844726562,
104,2013-04-11,,-2.5499954223632812
105,2013-04-19,3.0,
106,2013-04-30,1.8499984741210938,
107,2013-06-06,2.8699951171875,
108,2013-07-12,0.03000640869140625,
109,2013-08-28,3.2299957275390625,
110,2013-09-10,,-0.8799972534179688
111,2013-10-09,2.3300018310546875,
112,2013-10-15,5.769996643066406,
113,2014-01-28,3.4800033569335938,
114,2014-02-12,0.0099945068359375,
115,2014-03-14,,-1.1800003051757812
116,2014-05-06,6.19000244140625,
117,2014-08-06,3.910003662109375,
118,2014-08-18,0.1499938964843892,
119,2014-09-26,1.7900009155273295,
120,2014-10-29,3.349998474121108,
121,2014-12-15,1.3199996948242045,
122,2015-02-11,0.560005187988267,
123,2015-03-27,3.2599945068359517,
124,2015-04-22,,-0.849998474121108
125,2015-06-30,5.349998474121108,
126,2015-07-17,,-3.4599990844726705
127,2015-08-12,,-4.149993896484361
128,2015-09-18,,-4.990005493164077
129,2015-09-29,7.660003662109389,
130,2015-10-16,2.970001220703139,
131,2015-12-21,,-5.2099990844726705
132,2016-03-02,1.67999267578125,
133,2016-04-27,1.5300064086914205,
134,2016-05-25,,-5.270004272460952
135,2016-06-27,7.069999694824233,
136,2016-07-11,2.970001220703111,
137,2016-09-12,5.1999969482421875,
138,2016-09-22,,-0.6299972534179688
139,2016-10-18,1.4300003051757812,
140,2016-10-25,,-3.6100006103515625
141,2016-11-02,2.480003356933608,
142,2016-11-23,11.340003967285142,
143,2017-03-22,2.3499908447265625,
144,2017-03-30,6.339996337890625,
145,2017-06-28,3.730010986328125,
146,2017-07-17,,-1.0500030517578125
147,2017-08-11,3.839996337890625,
148,2017-08-31,10.75,
149,2018-02-06,14.639999389648438,
150,2018-02-27,,-7.839996337890625
151,2018-03-23,5.80999755859375,
152,2018-05-10,1.100006103515625,
153,2018-06-28,9.92999267578125,
154,2018-07-13,0.07000732421875,
155,2018-10-08,,-16.870010375976562
156,2019-01-16,21.460006713867216,
157,2019-05-10,1.8000030517577557,
158,2019-06-18,,-2.4800109863280966
159,2019-08-05,8.670013427734347,
160,2019-09-06,,-8.070007324218722
161,2019-10-03,8.830001831054716,
162,2019-10-16,23.850006103515597,
163,2020-02-26,,-14.360000610351591
164,2020-04-09,60.11999511718753,
165,2020-09-21,28.079986572265625,
166,2020-10-12,,-17.54998779296875
167,2020-10-29,24.649993896484375,
168,2020-11-09,18.20001220703125,
169,2021-02-26,11.279998779296875,
170,2021-04-05,5.1199951171875,
171,2021-05-05,2.79998779296875,
172,2021-06-07,25.170013427734375,
173,2021-08-19,13.6199951171875,
174,2021-08-24,,-6.260009765625
175,2021-09-21,8.360015869140682,
176,2021-10-20,9.8599853515625,
177,2021-12-02,18.600006103515568,
178,2021-12-28,,-29.579986572265568
179,2022-01-10,,-24.619995117187557
180,2022-03-21,,-10.4000244140625
181,2022-04-13,,-30.769989013671875
182,2022-06-03,,-31.3699951171875
183,2022-06-14,21.07000732421875,
184,2022-07-20,,0.0
