,Date,TotalCash,TotalValue
4927,2019-08-05,99861.5625,100138.622497
4928,2019-08-06,99861.5625,100134.642516
4929,2019-08-07,99861.5625,100134.472503
4930,2019-08-08,99861.5625,100128.822509
4931,2019-08-09,99861.5625,100130.822509
4932,2019-08-12,99861.5625,100134.372497
4933,2019-08-13,99861.5625,100129.892516
4934,2019-08-14,99861.5625,100138.54251
4935,2019-08-15,99861.5625,100137.79251
4936,2019-08-16,99861.5625,100133.592498
4937,2019-08-19,99861.5625,100130.112517
4938,2019-08-20,99861.5625,100132.352508
4939,2019-08-21,99861.5625,100129.992492
4940,2019-08-22,99861.5625,100130.082519
4941,2019-08-23,99861.5625,100137.592498
4942,2019-08-26,99861.5625,100134.442504
4943,2019-08-27,99861.5625,100135.572509
4944,2019-08-28,99861.5625,100133.55248900001
4945,2019-08-29,99861.5625,100129.862517
4946,2019-08-30,99861.5625,100129.992492
4947,2019-09-03,99861.5625,100131.702514
4948,2019-09-04,99861.5625,100128.402495
4949,2019-09-05,99861.5625,100124.622497
4950,2019-09-06,99861.5625,100124.392516
4951,2019-09-09,99861.5625,100124.242492
4952,2019-09-10,99861.5625,100124.312499
4953,2019-09-11,99861.5625,100122.192504
4954,2019-09-12,99861.5625,100121.152495
4955,2019-09-13,99861.5625,100121.352508
4956,2019-09-16,99861.5625,100122.2825
4957,2019-09-17,99861.5625,100121.522491
4958,2019-09-18,99861.5625,100121.342498
4959,2019-09-19,99861.5625,100121.362517
4960,2019-09-20,99861.5625,100124.162505
4961,2019-09-23,99861.5625,100124.23251300001
4962,2019-09-24,99861.5625,100126.572509
4963,2019-09-25,99861.5625,100124.822509
4964,2019-09-26,99861.5625,100125.442504
4965,2019-09-27,99861.5625,100127.04251
4966,2019-09-30,99861.5625,100125.672515
4967,2019-10-01,99861.5625,100129.202514
4968,2019-10-02,99861.5625,100134.38250600001
4969,2019-10-03,99861.5625,100132.022491
4970,2019-10-04,99861.5625,100128.092498
4971,2019-10-07,99861.5625,100129.362517
4972,2019-10-08,99861.5625,100133.912505
4973,2019-10-09,99861.5625,100131.172515
4974,2019-10-10,99861.5625,100129.202514
4975,2019-10-11,99861.5625,100126.162505
4976,2019-10-14,99861.5625,100126.492492
4977,2019-10-15,99861.5625,100123.562499
4978,2019-10-16,99861.5625,100124.04251
4979,2019-10-17,99861.5625,100123.162505
4980,2019-10-18,99861.5625,100124.472503
4981,2019-10-21,99861.5625,100122.452514
4982,2019-10-22,99861.5625,100123.43249400001
4983,2019-10-23,99861.5625,100122.562499
4984,2019-10-24,99861.5625,100122.072509
4985,2019-10-25,99861.5625,100120.842498
4986,2019-10-28,99861.5625,100119.142516
4987,2019-10-29,99861.5625,100119.23251300001
4988,2019-10-30,99861.5625,100118.30248900001
4989,2019-10-31,99861.5625,100119.112517
4990,2019-11-01,99861.5625,100116.30248900001
4991,2019-11-04,99861.5625,100115.072509
4992,2019-11-05,99861.5625,100115.412505
4993,2019-11-06,99861.5625,100115.342498
4994,2019-11-07,99861.5625,100114.26251100001
4995,2019-11-08,99861.5625,100113.502502
4996,2019-11-11,99861.5625,100114.092498
4997,2019-11-12,99861.5625,100113.442504
4998,2019-11-13,99861.5625,100113.342498
4999,2019-11-14,99861.5625,100112.892516
5000,2019-11-15,99861.5625,100110.652495
5001,2019-11-18,99861.5625,100110.422515
5002,2019-11-19,99861.5625,100110.51251100001
5003,2019-11-20,99861.5625,100111.672515
5004,2019-11-21,99861.5625,100112.172515
5005,2019-11-22,99861.5625,100111.48251300001
5006,2019-11-25,99861.5625,100109.072509
5007,2019-11-26,99861.5625,100108.362517
5008,2019-11-27,99861.5625,100106.962493
5009,2019-11-29,99861.5625,100108.13250600001
5010,2019-12-02,99861.5625,100110.80248900001
5011,2019-12-03,99861.5625,100112.892516
5012,2019-12-04,99861.5625,100110.98251300001
5013,2019-12-05,99861.5625,100110.422515
5014,2019-12-06,99861.5625,100107.572509
5015,2019-12-09,99861.5625,100108.562499
5016,2019-12-10,99861.5625,100108.912505
5017,2019-12-11,99861.5625,100108.022491
5018,2019-12-12,99861.5625,100105.312499
5019,2019-12-13,99861.5625,100105.122497
5020,2019-12-16,99861.5625,100102.942504
5021,2019-12-17,99861.5625,100102.872497
5022,2019-12-18,99861.5625,100102.852508
5023,2019-12-19,99861.5625,100101.54251
5024,2019-12-20,99861.5625,100101.712493
5025,2019-12-23,99861.5625,100101.222503
5026,2019-12-24,99861.5625,100101.212493
5027,2019-12-26,99861.5625,100099.502502
5028,2019-12-27,99861.5625,100099.582519
5029,2019-12-30,99861.5625,100101.362517
5030,2019-12-31,99861.5625,100100.582519
5031,2020-01-02,99861.5625,100097.572509
5032,2020-01-03,99861.5625,100100.0325
5033,2020-01-06,99861.5625,100098.80248900001
5034,2020-01-07,99861.5625,100099.712493
5035,2020-01-08,99861.5625,100097.992492
5036,2020-01-09,99861.5625,100095.79251
5037,2020-01-10,99861.5625,100096.73251300001
5038,2020-01-13,99861.5625,100094.492492
5039,2020-01-14,99861.5625,100094.992492
5040,2020-01-15,99861.5625,100094.252502
5041,2020-01-16,99861.5625,100091.522491
5042,2020-01-17,99861.5625,100090.492492
5043,2020-01-21,99861.5625,100091.142516
5044,2020-01-22,99861.5625,100091.102508
5045,2020-01-23,99861.5625,100090.722503
5046,2020-01-24,99861.5625,100093.672515
5047,2020-01-27,99861.5625,100098.942504
5048,2020-01-28,99861.5625,100095.55248900001
5049,2020-01-29,99861.5625,100095.822509
5050,2020-01-30,99861.5625,100094.76251100001
5051,2020-01-31,99861.5625,100100.712493
5052,2020-02-03,99861.5625,100098.322509
5053,2020-02-04,99861.5625,100093.38250600001
5054,2020-02-05,99861.5625,100089.582519
5055,2020-02-06,99861.5625,100088.462493
5056,2020-02-07,99861.5625,100090.242492
5057,2020-02-10,99861.5625,100087.76251100001
5058,2020-02-11,99861.5625,100087.18249400001
5059,2020-02-12,99861.5625,100085.022491
5060,2020-02-13,99861.5625,100085.38250600001
5061,2020-02-14,99861.5625,100084.842498
5062,2020-02-18,99861.5625,100085.712493
5063,2020-02-19,99861.5625,100084.102508
5064,2020-02-20,99861.5625,100085.492492
5065,2020-02-21,99861.5625,100088.962493
5066,2020-02-24,99861.5625,100100.022491
5067,2020-02-25,99861.5625,100109.79251
5068,2020-02-26,99861.5625,100110.942504
5069,2020-02-27,99861.5625,100124.93249400001
5070,2020-02-28,99861.5625,100126.18249400001
5071,2020-03-02,99861.5625,100113.352508
5072,2020-03-03,99861.5625,100122.202514
5073,2020-03-04,99861.5625,100109.582519
5074,2020-03-05,99861.5625,100119.98251300001
5075,2020-03-06,99861.5625,100124.98251300001
5076,2020-03-09,99861.5625,100148.212493
5077,2020-03-10,99861.5625,100134.022491
5078,2020-03-11,99861.5625,100148.082519
5079,2020-03-12,99861.5625,100174.332503
5080,2020-03-13,99861.5625,100153.122497
5081,2020-03-16,99861.5625,100182.592498
5082,2020-03-17,99861.5625,100098.842483
5083,2020-03-18,99861.5625,100111.642486
5084,2020-03-19,99861.5625,100111.132491
5085,2020-03-20,99861.5625,100122.842483
5086,2020-03-23,99861.5625,100128.692489
5087,2020-03-24,99861.5625,100108.492492
5088,2020-03-25,99861.5625,100104.852493
5089,2020-03-26,99861.5625,100090.442474
5090,2020-03-27,99861.5625,100098.222488
5091,2020-03-30,99861.5625,100089.992492
5092,2020-03-31,99861.5625,100093.892486
5093,2020-04-01,99861.5625,100105.492492
5094,2020-04-02,99861.5625,100099.812484
5095,2020-04-03,99861.5625,100103.452484
5096,2020-04-06,99861.5625,100086.782501
5097,2020-04-07,99861.5625,100086.512481
5098,2020-04-08,99861.5625,100077.612487
5099,2020-04-09,99861.5625,100073.442474
5100,2020-04-13,99861.5625,100075.98248199999
5101,2020-04-14,99861.5625,100067.852477
5102,2020-04-15,99861.5625,100073.882476
5103,2020-04-16,99861.5625,100072.54248
5104,2020-04-17,99861.5625,100065.002471
5105,2020-04-20,99861.5625,100070.05249
5106,2020-04-21,99861.5625,100078.602477
5107,2020-04-22,99861.5625,100072.54248
5108,2020-04-23,99861.5625,100072.56249899999
5109,2020-04-24,99861.5625,100068.672485
5110,2020-04-27,99861.5625,100064.592498
5111,2020-04-28,99861.5625,100065.912475
5112,2020-04-29,99861.5625,100058.432495
5113,2020-04-30,99861.5625,100061.162475
5114,2020-05-01,99861.5625,100068.852477
5115,2020-05-04,99861.5625,100068.072479
5116,2020-05-05,99861.5625,100065.452484
5117,2020-05-06,99861.5625,100067.392486
5118,2020-05-07,99861.5625,100063.962493
5119,2020-05-08,99861.5625,100059.202484
5120,2020-05-11,99861.5625,100059.142486
5121,2020-05-12,99861.5625,100064.972473
5122,2020-05-13,99861.5625,100070.04248
5123,2020-05-14,99861.5625,100066.672485
5124,2020-05-15,99861.5625,100065.362487
5125,2020-05-18,99861.5625,100056.642486
5126,2020-05-19,99861.5625,100059.672485
5127,2020-05-20,99861.5625,100054.712493
5128,2020-05-21,99861.5625,100056.762481
5129,2020-05-22,99861.5625,100056.202484
5130,2020-05-26,99861.5625,100052.56249899999
5131,2020-05-27,99861.5625,100048.112487
5132,2020-05-28,99861.5625,100048.672485
5133,2020-05-29,99861.5625,100047.322479
5134,2020-06-01,99861.5625,100046.092498
5135,2020-06-02,99861.5625,100043.56249899999
5136,2020-06-03,99861.5625,100039.462493
5137,2020-06-04,99861.5625,100040.282501
5138,2020-06-05,99861.5625,100032.30249
5139,2020-06-08,99861.5625,100028.442474
5140,2020-06-09,99861.5625,100030.852477
5141,2020-06-10,99861.5625,100185.40252599999
5142,2020-06-11,99861.5625,100203.792541
5143,2020-06-12,99861.5625,100200.192535
5144,2020-06-15,99861.5625,100197.35253799999
5145,2020-06-16,99861.5625,100191.442535
5146,2020-06-17,99861.5625,100192.742522
5147,2020-06-18,99861.5625,100192.622527
5148,2020-06-19,99861.5625,100195.762511
5149,2020-06-22,99861.5625,100193.78253099999
5150,2020-06-23,99861.5625,100192.35253799999
5151,2020-06-24,99861.5625,100200.31253
5152,2020-06-25,99861.5625,100197.05252
5153,2020-06-26,99861.5625,100204.35253799999
5154,2020-06-29,99861.5625,100199.942535
5155,2020-06-30,99861.5625,100196.042541
5156,2020-07-01,99861.5625,100193.882537
5157,2020-07-02,99861.5625,100192.172515
5158,2020-07-06,99861.5625,100187.35253799999
5159,2020-07-07,99861.5625,100190.622527
5160,2020-07-08,99861.5625,100188.222533
5161,2020-07-09,99861.5625,100190.02252099999
5162,2020-07-10,99861.5625,100186.81253
5163,2020-07-13,99861.5625,100189.56253
5164,2020-07-14,99861.5625,100185.482513
5165,2020-07-15,99861.5625,100182.55252
5166,2020-07-16,99861.5625,100183.612517
5167,2020-07-17,99861.5625,100182.682525
5168,2020-07-20,99861.5625,100180.08251899999
5169,2020-07-21,99861.5625,100179.39251599999
5170,2020-07-22,99861.5625,100177.542541
5171,2020-07-23,99861.5625,100181.442535
5172,2020-07-24,99861.5625,100183.52252099999
5173,2020-07-27,99861.5625,100181.182525
5174,2020-07-28,99861.5625,100183.232513
5175,2020-07-29,99861.5625,100179.28253099999
5176,2020-07-30,99861.5625,100180.442535
5177,2020-07-31,99861.5625,100177.882537
5178,2020-08-03,99861.5625,100175.612517
5179,2020-08-04,99861.5625,100174.342528
5180,2020-08-05,99861.5625,100172.292541
5181,2020-08-06,99861.5625,100170.072539
5182,2020-08-07,99861.5625,100169.83251899999
5183,2020-08-10,99861.5625,100168.83251899999
