,Date,Positive,Negative
153,1500274800.0,,-1.4499969999999962
154,1502434800.0,5.610001000000011,
155,1505199600.0,10.309996999999981,
156,1517904000.0,19.260010000000023,
157,1520838000.0,,-15.029999000000032
158,1521788400.0,7.989991000000032,
159,1526022000.0,,-2.869995000000017
160,1530169200.0,9.880003999999985,
161,1531465200.0,7.879975000000002,
162,1538982000.0,,-6.94000299999999
163,1541664000.0,,-14.32998600000002
164,1543219200.0,,-4.950011999999958
165,1547625600.0,24.400023999999974,
166,1557385200.0,5.759978999999987,
167,1560236400.0,2.86001600000003,
168,1564729200.0,2.94000299999999,
169,1567666800.0,,-5.290008999999998
170,1569999600.0,7.190001999999993,
171,1571382000.0,24.660004000000015,
172,1580716800.0,10.559998000000007,
173,1580976000.0,,-19.73001099999999
174,1582704000.0,,-36.60000600000001
